seed_idx,estimate
995,286199.6331343632
59,285682.48054353223
169,293665.8581204555
522,301457.7183230169
545,281203.25970159756
667,278508.46169208846
199,279402.6785024734
64,301601.401430805
505,301246.3447291292
660,277145.0437599643
80,275161.1468171443
124,292795.7529774596
588,277322.19089514745
609,276467.3636701448
632,290401.7622060765
920,291272.53390855057
32,291055.8420953787
112,275305.2682418501
384,274171.97148849844
482,267672.2500419364
772,281408.6228354241
245,285936.6433325446
323,285210.92730705976
446,285672.9002851603
869,277549.3399580095
289,271989.2260963401
610,283834.64180684934
907,288229.1949348962
128,278970.17697258806
889,288863.33663976344
156,292381.1355603661
215,273813.0257919208
401,272632.17988674826
659,295582.15636486537
696,286376.1257462189
864,301045.1049427017
956,280231.66568625846
23,280545.9911175714
55,277684.9515888457
570,292221.9549487741
630,280771.93639971555
701,285964.0972664229
282,290862.8569179245
742,279168.55202522647
852,298478.37479445734
21,286195.4458887541
183,271020.7319020251
312,272802.1000909824
407,297595.64413822076
494,283291.7496775045
808,298622.8893842043
949,301210.0948431959
58,292000.0818461209
85,266123.83595998125
749,275259.6417515951
815,293408.75010707666
746,279614.4981052826
938,282155.886795315
303,285218.7309864323
389,282311.32885157375
602,299490.99952505215
614,295459.1347423586
132,293858.98502914555
337,277591.7408360172
377,293667.81752422807
732,276562.8135901581
743,291481.82699442725
834,278568.39431417285
850,282301.7721695263
859,290185.27411960956
52,281345.3638102728
61,276701.5215529167
149,285343.8535041587
477,277015.964115622
324,292885.0508469115
481,281129.41829081066
136,270704.74223122024
535,302204.4786021765
657,285715.4497832804
966,270031.02429725573
290,275247.4007386394
692,279972.598685388
109,278470.6743115839
138,271918.2072567615
855,291219.10681288637
936,281315.7927287329
586,283422.2842059925
42,295797.5252332271
186,278837.67457395577
664,280843.99719157803
668,301510.1490843948
691,282168.2223970627
200,286518.844432397
552,289909.60743259155
611,282568.8481918986
726,272836.8612380589
775,292065.6393415723
67,288852.59401296714
408,278306.81929326174
471,268868.817340529
24,271210.9353708156
978,289124.5122516792
318,277209.4347087224
419,285982.83295786905
559,277272.3999637491
131,289376.11891085544
355,288954.3650685514
410,274865.32157937385
950,277672.88320482796
216,285668.7799415357
519,275185.06497225765
790,296125.1799517529
940,270693.2960611925
5,289348.2173148178
267,285826.41624656564
537,280766.76218608464
227,287882.53272810107
232,277786.9908139683
987,275985.5002463761
221,271640.9171881259
235,300871.5543535605
927,264334.7420395651
454,301716.9521542997
63,287975.6655438168
352,294048.43707052077
365,283404.23733321886
857,294695.19450488396
662,280420.9145910487
689,299698.8957521332
415,286697.9098320695
507,282227.654410493
758,296917.925892831
867,283391.2612272306
300,308093.5874202669
504,267628.1238405903
782,285662.43226974754
528,284195.07670434134
738,300745.00470780546
831,283425.3260400957
114,301383.06178307807
435,268376.43498800177
678,281528.22310013266
141,292720.7819978797
751,278166.2046245772
327,291852.7119102096
764,283704.74320655694
288,290330.1133412031
394,281717.63127558376
919,283380.8203797145
449,274037.2092271101
27,281752.3971169143
715,272340.524102178
207,295926.85305149015
658,291567.75309635804
219,298586.81795261323
685,296202.7911025913
702,295908.94702972425
348,279244.27035232016
472,268221.9702790215
592,271684.1522492875
912,276932.712463113
754,287213.9588357268
699,272819.1507359886
69,288060.6887417431
796,292037.3243656297
105,264512.66535706987
520,282013.9668235498
531,304500.82638229476
807,288169.6555305496
511,277838.4283030615
75,288294.1321611104
379,282561.6423430093
825,289128.363576042
591,291633.7607089612
238,306656.20874004933
158,281482.8610359839
521,291450.5157171756
189,275836.19858004653
424,278976.80785417696
547,282618.7953292378
652,282406.32726332423
786,281827.5687487959
898,286118.2881005229
983,276904.5697653242
285,288407.2685692147
997,277652.44720495376
780,280745.07236594154
89,279792.24805640086
223,290221.736166629
832,296054.8004509794
370,276808.0133922889
827,287614.7456689258
812,278455.40563700034
525,276082.469700048
896,290171.6696388988
942,285216.57466390997
661,260749.98652599964
739,290387.6584463183
623,269698.5773036273
86,293528.54729459353
116,293661.9393913504
870,286521.7458512733
642,292179.2774400631
445,290362.88704521797
641,285865.86540338077
792,295689.05664987053
795,275937.1732084548
53,274868.94543464424
271,295534.0819622897
538,289196.1214563792
618,304180.92372636043
736,279023.12844077626
829,294715.03696632624
604,279858.96256501856
175,281532.72509461374
961,294441.6437522146
561,291182.71480695996
35,291261.7184251181
73,280611.82319141325
448,279565.9524141238
376,286543.6120049628
144,296645.20844416536
442,285215.6505356671
887,273263.8295017263
791,285462.2970440008
447,279716.77548088814
45,272747.81526506995
242,284187.0231145458
329,305687.49413955346
